,movie_title,movie_id,tags
0,Avatar,tt0499549,action adventure fantasy sci-fi avatar future marine native paraplegic cchpounder joeldavidmoore wesstudi jamescameron
1,Pirates of the Caribbean: At World's End,tt0449088,action adventure fantasy goddess marriage ceremony marriage proposal pirate singapore johnnydepp orlandobloom jackdavenport goreverbinski
2,Spectre,tt2379713,action adventure thriller bomb espionage sequel spy terrorist christophwaltz rorykinnear stephaniesigman sammendes
3,The Dark Knight Rises,tt1345836,action thriller deception imprisonment lawlessness police officer terrorist plot tomhardy christianbale josephgordon-levitt christophernolan
4,John Carter,tt0401729,action adventure sci-fi alien american civil war male nipple mars princess darylsabara samanthamorton pollywalker andrewstanton
5,Spider-Man 3,tt0413300,action adventure romance sandman spider man symbiote venom villain j.k.simmons jamesfranco kirstendunst samraimi
6,Tangled,tt0398286,adventure animation comedy family fantasy musical romance 17th century based on fairy tale disney flower tower bradgarrett donnamurphy m.c.gainey nathangreno
7,Avengers: Age of Ultron,tt2395427,action adventure sci-fi artificial intelligence based on comic book captain america marvel cinematic universe superhero chrishemsworth robertdowneyjr. scarlettjohansson josswhedon
8,Harry Potter and the Half-Blood Prince,tt0417741,adventure family fantasy mystery blood book love potion professor alanrickman danielradcliffe rupertgrint davidyates
9,Batman v Superman: Dawn of Justice,tt2975590,action adventure sci-fi based on comic book batman sequel to a reboot superhero superman henrycavill laurencohan aland.purwin zacksnyder
10,Superman Returns,tt0348150,action adventure sci-fi crystal epic lex luthor lois lane return to earth kevinspacey marlonbrando franklangella bryansinger
11,Quantum of Solace,tt0830515,action adventure action hero attempted rape bond girl official james bond series revenge giancarlogiannini mathieuamalric rorykinnear marcforster
12,Pirates of the Caribbean: Dead Man's Chest,tt0383574,action adventure fantasy box office hit giant squid heart liar's dice monster johnnydepp orlandobloom jackdavenport goreverbinski
13,The Lone Ranger,tt1210819,action adventure western horse outlaw texas texas ranger train johnnydepp ruthwilson tomwilkinson goreverbinski
14,Man of Steel,tt0770828,action adventure fantasy sci-fi based on comic book british actor playing american character final battle origin of hero reboot henrycavill christophermeloni harrylennix zacksnyder
15,The Chronicles of Narnia: Prince Caspian,tt0499448,action adventure family fantasy brother brother relationship brother sister relationship good versus evil king narnia peterdinklage pierfrancescofavino damiánalcázar andrewadamson
16,The Avengers,tt0848228,action adventure sci-fi alien invasion assassin battle iron man soldier chrishemsworth robertdowneyjr. scarlettjohansson josswhedon
17,Pirates of the Caribbean: On Stranger Tides,tt1298650,action adventure fantasy blackbeard captain pirate revenge soldier johnnydepp samclaflin stephengraham robmarshall
18,Men in Black 3,tt1409024,action adventure comedy family fantasy sci-fi alien criminal m.i.b. maximum security prison prison willsmith michaelstuhlbarg nicolescherzinger barrysonnenfeld
19,The Hobbit: The Battle of the Five Armies,tt2310332,adventure fantasy army elf hobbit middle earth orc aidanturner adambrown jamesnesbitt peterjackson
20,The Amazing Spider-Man,tt0948470,action adventure fantasy lizard outcast spider spider man teenager emmastone andrewgarfield chriszylka marcwebb
